No;CoupleID;Yearsmar;Partnum;Gender_A;SelfPos_A;OtherPos_A;Satisfaction_A;Tension_A;SimHob_A;Gender_P;SelfPos_P;OtherPos_P;Satisfaction_P;Tension_P;SimHob_P;Gender;COtherPos_A;COtherPos_P;CTension_A;CTension_P
1;3;8.202666667;1;Wife;4.8;4.6;4;1.5;0;MALE;3.8;4;3.666666667;2.5;1;Wife                    ;0.3365;-0.2635;-0.9307;0.0693
2;3;8.202666667;2;Husband;3.8;4;3.666666667;2.5;1;FEMALE;4.8;4.6;4;1.5;0;Husband                 ;-0.2635;0.3365;0.0693;-0.9307
3;10;10.45266667;1;Wife;4.6;3.8;3.166666667;4;0;MALE;4.2;4;3.666666667;2;0;Wife                    ;-0.4635;-0.2635;1.5693;-0.4307
4;10;10.45266667;2;Husband;4.2;4;3.666666667;2;0;FEMALE;4.6;3.8;3.166666667;4;0;Husband                 ;-0.2635;-0.4635;-0.4307;1.5693
5;11;-8.297333333;1;Wife;5;4.4;3.833333333;2.5;0;MALE;4.2;4.8;3.833333333;2.5;0;Wife                    ;0.1365;0.5365;0.0693;0.0693
6;11;-8.297333333;2;Husband;4.2;4.8;3.833333333;2.5;0;FEMALE;5;4.4;3.833333333;2.5;0;Husband                 ;0.5365;0.1365;0.0693;0.0693
7;17;-6.380666667;1;Wife;4;3.6;3.166666667;3;-1;MALE;4;4.4;3.833333333;2;0;Wife                    ;-0.6635;0.1365;0.5693;-0.4307
8;17;-6.380666667;2;Husband;4;4.4;3.833333333;2;0;FEMALE;4;3.6;3.166666667;3;-1;Husband                 ;0.1365;-0.6635;-0.4307;0.5693
9;21;10.20266667;1;Wife;4.2;3.8;4;3.5;0;MALE;4.4;4.8;3.5;2.5;0;Wife                    ;-0.4635;0.5365;1.0693;0.0693
10;21;10.20266667;2;Husband;4.4;4.8;3.5;2.5;0;FEMALE;4.2;3.8;4;3.5;0;Husband                 ;0.5365;-0.4635;0.0693;1.0693
11;22;15.036;1;Wife;4;5;3.666666667;2;-1;MALE;4.4;4.6;4;2.5;0;Wife                    ;0.7365;0.3365;-0.4307;0.0693
12;22;15.036;2;Husband;4.4;4.6;4;2.5;0;FEMALE;4;5;3.666666667;2;-1;Husband                 ;0.3365;0.7365;0.0693;-0.4307
13;27;-10.63066667;1;Wife;4;4.6;4;3;0;MALE;4;4;3.833333333;3;0;Wife                    ;0.3365;-0.2635;0.5693;0.5693
14;27;-10.63066667;2;Husband;4;4;3.833333333;3;0;FEMALE;4;4.6;4;3;0;Husband                 ;-0.2635;0.3365;0.5693;0.5693
15;44;11.036;1;Wife;4;4.2;3.833333333;2.5;0;MALE;3.2;4.2;4;1.5;-1;Wife                    ;-0.0635;-0.0635;0.0693;-0.9307
16;44;11.036;2;Husband;3.2;4.2;4;1.5;-1;FEMALE;4;4.2;3.833333333;2.5;0;Husband                 ;-0.0635;-0.0635;-0.9307;0.0693
17;46;-6.214;1;Wife;4.8;4.6;4;1.5;0;MALE;4.4;4.6;3.833333333;2;0;Wife                    ;0.3365;0.3365;-0.9307;-0.4307
